Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
140,InterUniversity,IBM,SP2/64,Israel,1996,64,11.4,17.024,26500,6250,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Western Asia,Asia
144,Tokyo Metropolitan University,IBM,SP2/60,Japan,1995,60,10.73,15.96,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Eastern Asia,Asia
145,Pennsylvania State University,IBM,SP2/59,United States,1994,59,10.52,15.694,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
147,"GSIC Center, Tokyo Institute of Technology",Cray Inc.,Y-MP C916/12256,Japan,1995,12,10.27,11.429,0,0,Cray,Cray,238.1,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,Eastern Asia,Asia
163,Rika dai,IBM,SP2/48,Japan,1996,48,8.6,12.768,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Eastern Asia,Asia
164,University of Michigan,IBM,SP2/48,United States,1996,48,8.6,12.768,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
166,"Tohoku University, Kohgaku-bu",IBM,SP2/46,Japan,1996,46,8.25,12.236,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Eastern Asia,Asia
167,Universitaet Heidelberg - IWR,Parsytec,GC PowerPlus/192,Germany,1995,192,7.999,15.36,27192,9500,Power,PowerPC 601,80.0,Parytec,PARIX,MPP,Academic,Not Specified,,,Western Europe,Europe
168,Universitaet Paderborn - PC2,Parsytec,GC PowerPlus/192,Germany,1995,192,7.999,15.36,27192,9500,Power,PowerPC 601,80.0,Parytec,PARIX,MPP,Academic,Not Specified,,,Western Europe,Europe
169,Centre de Supercomputacio de Catalunya,IBM,SP2/44,Spain,1996,44,7.9,11.704,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Southern Europe,Europe
180,Okayama University,Intel,XP/S20,Japan,1994,256,7.6,12.8,16000,4000,Intel i860,Intel i860 Intel 80860,50.0,intel Paragon,OSF/1,MPP,Academic,Not Specified,,2-D mesh (torus),Eastern Asia,Asia
187,Boston University,SGI,POWER CHALLENGEarray,United States,1995,38,7.445,11.4,27000,6775,MIPS,MIPS R8000,75.0,SGI PowerChallenge,IRIX,Constellations,Academic,Not Specified,HIPPI,HIPPI,North America,Americas
188,NCSA,Hewlett-Packard,SPP1200/XA-64,United States,1995,64,7.408,15.36,42000,0,PA-RISC,PA-RISC PA-7200,120.0,HP Superdome,SPP-UX,MPP,Academic,Not Specified,Proprietary,Ring,North America,Americas
191,Seoul National University,IBM,SP2/40,"Korea, South",1995,40,7.2,10.64,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Eastern Asia,Asia
192,UNI-C,IBM,SP2/40,Denmark,1995,40,7.2,10.64,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Northern Europe,Europe
196,"University of California, Los Angeles",IBM,SP2/38,United States,1994,38,6.86,10.108,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
198,CNRS/IDRIS,Cray Inc.,Y-MP C98/8512,France,1993,8,6.85,7.619,0,0,Cray,Cray,238.1,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,Western Europe,Europe
207,UCSD/San Diego Supercomputer Center,Cray Inc.,Y-MP C98/8128,United States,1993,8,6.85,7.619,0,0,Cray,Cray,238.1,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,North America,Americas
208,Rensselaer Polytechnic,IBM,SP2/36,United States,1994,36,6.5,9.576,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
209,CINECA,Cray Inc.,T3D MC64-8,Italy,1995,64,6.4,9.6,20736,2368,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Southern Europe,Europe
216,Philipps University of Marburg,IBM,SP2/35,Germany,1995,35,6.34,9.31,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Western Europe,Europe
230,CINECA,IBM,SP2/32,Italy,1995,32,5.8,8.512,18000,4500,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Southern Europe,Europe
